Product ID,Sample,Predicted Price,MSE
watches7,6,339.00015,0.8097253650798985
watches7,7,345.7003,1.6892542326822877
watches7,8,346.54935,1498.9297109204456
watches7,9,314.90314,1172.13591277882
watches7,10,320.6903,3809.4500445288113
watches7,11,346.94388,10209.865316407419
watches7,12,286.02936,13614.23166676364
watches8,6,167.64336,299.3262834637907
watches8,7,150.34161,26.780077172449996
watches8,8,229.84116,5961.047886979414
watches8,9,152.6298,20.36762555068375
watches8,10,152.66483,27.885043275092286
